Match_ID,Shipley_Vocab_Raw
Sub1009_S1,34
Sub1010_S1,32
Sub1012_S1,33
Sub1015_S1,32
Sub1016_S1,39
Sub1018_S1,32
Sub1020_S1,35
Sub1022_S1,29
Sub1023_S1,36
Sub1024_S1,26
Sub1026_S1,35
Sub1028_S1,33
Sub1029_S1,33
Sub1032_S1,35
Sub1034_S1,33
Sub1035_S1,29
Sub1036_S1,31
Sub1037_S1,34
Sub1038_S1,28
Sub1039_S1,37
Sub1043_S1,34
Sub1044_S1,31
Sub1045_S1,33
Sub1047_S1,29
Sub1049_S1,38
Sub1051_S1,34
Sub1054_S1,30
Sub1055_S1,33
Sub1056_S1,34
Sub1057_S1,35
Sub1058_S1,33
Sub1059_S1,36
Sub1062_S1,31
Sub1065_S1,37
Sub1067_S1,38
Sub1069_S1,33
Sub1070_S1,30
Sub1072_S1,36
Sub1073_S1,30
Sub1074_S1,37
Sub1075_S1,34
Sub1076_S1,29
Sub1077_S1,37
Sub1078_S1,36
Sub1079_S1,32
Sub1080_S1,37
Sub1082_S1,32
Sub1084_S1,27
Sub1085_S1,28
Sub1087_S1,31
Sub1089_S1,38
Sub1095_S1,34
Sub1097_S1,34
Sub1098_S1,27
Sub1099_S1,30
Sub1100_S1,34
Sub1102_S1,32
Sub1103_S1,31
Sub1107_S1,34
Sub1109_S1,38
Sub1110_S1,31
Sub1112_S1,32
Sub1113_S1,34
Sub1115_S1,29
Sub1117_S1,28
Sub1122_S1,35
Sub1123_S1,26
Sub1124_S1,30
Sub1127_S1,36
Sub1129_S1,37
Sub1130_S1,31
Sub1132_S1,34
Sub1135_S1,32
Sub1136_S1,34
Sub1137_S1,29
Sub1138_S1,25
Sub1139_S1,38
Sub1144_S1,25
Sub1145_S1,34
Sub1146_S1,27
Sub1149_S1,38
Sub1151_S1,34
Sub1160_S1,31
Sub1161_S1,36
Sub1162_S1,28
Sub1163_S1,33
Sub1164_S1,31
Sub1167_S1,31
Sub1168_S1,28
Sub1170_S1,30
Sub1171_S1,36
Sub1172_S1,35
Sub1173_S1,32
Sub1174_S1,26
Sub1178_S1,30
Sub1179_S1,28
Sub1180_S1,36
Sub1181_S1,38
Sub1182_S1,27
Sub1184_S1,39
Sub1186_S1,29
Sub1187_S1,30
Sub1188_S1,32
Sub1189_S1,31
Sub1190_S1,33
Sub1191_S1,32
Sub1192_S1,28
Sub1194_S1,34
Sub1197_S1,26
Sub1198_S1,31
Sub1199_S1,33
Sub1202_S1,26
Sub1204_S1,35
Sub1205_S1,36
Sub1207_S1,33
Sub1210_S1,34
Sub1211_S1,33
Sub1212_S1,35
Sub1214_S1,37
Sub1215_S1,34
Sub1217_S1,34
Sub1218_S1,28
Sub1219_S1,32
Sub1220_S1,37
Sub1223_S1,31
Sub1224_S1,29
Sub1225_S1,35
Sub1227_S1,32
Sub1228_S1,37
Sub1232_S1,32
Sub1234_S1,27
Sub1235_S1,36
Sub1236_S1,36
Sub1237_S1,34
Sub1238_S1,30
Sub1239_S1,29
Sub1240_S1,32
Sub1244_S1,37
Sub1245_S1,34
Sub1247_S1,30
Sub1249_S1,26
Sub1251_S1,28
Sub1252_S1,36
Sub1253_S1,35
Sub1254_S1,39
Sub1255_S1,35
Sub1257_S1,34
Sub1259_S1,30
Sub1260_S1,32
Sub1261_S1,33
Sub1263_S1,31
Sub1264_S1,29
Sub1265_S1,36
Sub1269_S1,34
Sub1270_S1,36
Sub1272_S1,33
Sub1274_S1,25
Sub1275_S1,38
Sub1276_S1,36
Sub1279_S1,37
Sub1280_S1,32
Sub1281_S1,32
Sub1282_S1,29
Sub1287_S1,29
Sub1288_S1,35
Sub1289_S1,37
Sub1290_S1,27
Sub1291_S1,33
Sub1292_S1,35
Sub1293_S1,34
Sub1295_S1,39
Sub1296_S1,32
Sub1297_S1,33
Sub1300_S1,29
Sub1304_S1,36
Sub1305_S1,37
Sub1307_S1,35
Sub1308_S1,35
Sub1309_S1,36
Sub1310_S1,33
Sub1314_S1,30
Sub1315_S1,29
Sub1321_S1,32
Sub1324_S1,32
Sub1325_S1,33
Sub1328_S1,36
Sub1330_S1,30
Sub1331_S1,28
Sub1332_S1,28
Sub1333_S1,29
Sub1335_S1,30
Sub1338_S1,39
Sub1339_S1,34
Sub1341_S1,28
Sub1342_S1,25
Sub1343_S1,36
Sub1344_S1,32
Sub1345_S1,32
Sub1346_S1,35
Sub1347_S1,27
Sub1348_S1,31
Sub1349_S1,32
Sub1351_S1,31
Sub1354_S1,36
Sub1359_S1,35
Sub1361_S1,34
Sub1362_S1,29
Sub1363_S1,28
Sub1364_S1,33
Sub1365_S1,38
Sub1367_S1,29
Sub1369_S1,25
Sub1371_S1,29
Sub1375_S1,37
Sub1376_S1,26
Sub1378_S1,22
Sub1379_S1,31
Sub1380_S1,32
Sub1381_S1,29
Sub1382_S1,37
Sub1383_S1,30
Sub1384_S1,36
Sub1386_S1,32
Sub1387_S1,34
Sub1389_S1,34
Sub1390_S1,32
Sub1394_S1,34
Sub1395_S1,37
Sub1397_S1,35
Sub1399_S1,37
Sub1401_S1,28
Sub1402_S1,32
Sub1404_S1,31
Sub1406_S1,31
Sub1407_S1,29
Sub1408_S1,32
Sub1412_S1,32
Sub1413_S1,34
Sub1414_S1,34
Sub1415_S1,36
Sub1417_S1,32
Sub1418_S1,28
Sub1421_S1,35
Sub1422_S1,28
Sub1423_S1,34
Sub1427_S1,32
Sub1428_S1,32
Sub1429_S1,32
Sub1430_S1,31
Sub1432_S1,36
Sub1433_S1,26
Sub1435_S1,37
Sub1437_S1,30
Sub1439_S1,34
Sub1440_S1,34
Sub1442_S1,34
Sub1443_S1,35
Sub1445_S1,34
Sub1446_S1,33
Sub1451_S1,28
Sub1452_S1,31
Sub1454_S1,31
Sub1455_S1,36
Sub1456_S1,27
Sub1458_S1,30
Sub1459_S1,30
Sub1462_S1,33
Sub1464_S1,38
Sub1465_S1,32
Sub1466_S1,25
Sub1467_S1,33
Sub1469_S1,35
Sub1471_S1,35
Sub1472_S1,34
Sub1473_S1,34
Sub1475_S1,29
Sub1477_S1,36
Sub1478_S1,31
Sub1479_S1,34
Sub1480_S1,37
Sub1481_S1,28
Sub1483_S1,32
Sub1485_S1,39
Sub1487_S1,31
Sub1489_S1,37
Sub1490_S1,33
Sub1494_S1,31
Sub1496_S1,28
Sub1497_S1,37
Sub1499_S1,30
Sub1500_S1,28
Sub1501_S1,33
Sub1502_S1,35
Sub1503_S1,39
Sub1504_S1,33
Sub1505_S1,33
Sub1506_S1,32
Sub1508_S1,39
Sub1509_S1,32
Sub1511_S1,35
Sub1514_S1,36
Sub1518_S1,29
Sub1519_S1,28
Sub1520_S1,33
Sub1522_S1,36
Sub1524_S1,35
Sub1526_S1,38
Sub1528_S1,29
Sub1529_S1,31
Sub1530_S1,27
Sub1531_S1,32
Sub1532_S1,34
Sub1533_S1,35
Sub1535_S1,33
Sub1536_S1,31
Sub1537_S1,37
Sub1538_S1,35
Sub1539_S1,34
Sub1540_S1,33
Sub1541_S1,38
Sub1543_S1,32
Sub1545_S1,27
Sub1546_S1,32
Sub1547_S1,35
Sub1548_S1,33
Sub1549_S1,33
Sub1550_S1,33
Sub1551_S1,32
Sub1553_S1,29
Sub1555_S1,30
Sub1558_S1,34
Sub1561_S1,36
Sub1562_S1,38
Sub1563_S1,35
Sub1565_S1,34
Sub1570_S1,32
